Site,Age,Thickness,Latm,Lonm
122,6930.0,296.64257154620316,-83.74600000000001,-58.99211
122,6940.0,296.86244748198675,-83.74600000000001,-58.99211
122,6950.0,297.08214692962423,-83.74600000000001,-58.99211
122,6960.0,297.30178417882126,-83.74600000000001,-58.99211
122,6970.0,297.52147351928363,-83.74600000000001,-58.99211
122,6980.0,297.7413292407171,-83.74600000000001,-58.99211
122,6990.0,297.9614656328274,-83.74600000000001,-58.99211
122,7000.0,298.1819969853206,-83.74600000000001,-58.99211
122,7010.0,298.403037587902,-83.74600000000001,-58.99211
122,7020.0,298.6247017302778,-83.74600000000001,-58.99211
122,7030.0,298.8471037021537,-83.74600000000001,-58.99211
122,7040.0,299.0703577932353,-83.74600000000001,-58.99211
122,7050.0,299.2945782932285,-83.74600000000001,-58.99211
122,7060.0,299.5198794918391,-83.74600000000001,-58.99211
122,7070.0,299.7463756787728,-83.74600000000001,-58.99211
122,7080.0,299.97418114373556,-83.74600000000001,-58.99211
122,7090.0,300.2034101764329,-83.74600000000001,-58.99211
122,7100.0,300.43417706657084,-83.74600000000001,-58.99211
122,7110.0,300.66659610385506,-83.74600000000001,-58.99211
122,7120.0,300.9007815779913,-83.74600000000001,-58.99211
122,7130.0,301.1368477786854,-83.74600000000001,-58.99211
122,7140.0,301.37490899564324,-83.74600000000001,-58.99211
122,7150.0,301.6150795185702,-83.74600000000001,-58.99211
122,7160.0,301.8574736371726,-83.74600000000001,-58.99211
122,7170.0,302.1022056411559,-83.74600000000001,-58.99211
122,7180.0,302.3493898202259,-83.74600000000001,-58.99211
122,7190.0,302.5991404640885,-83.74600000000001,-58.99211
122,7200.0,302.8515718624494,-83.74600000000001,-58.99211
122,7210.0,303.10679830501437,-83.74600000000001,-58.99211
122,7220.0,303.36493408148925,-83.74600000000001,-58.99211
122,7230.0,303.6260934815798,-83.74600000000001,-58.99211
122,7240.0,303.89039079499173,-83.74600000000001,-58.99211
122,7250.0,304.15794031143093,-83.74600000000001,-58.99211
122,7260.0,304.4288563206032,-83.74600000000001,-58.99211
122,7270.0,304.70325311221416,-83.74600000000001,-58.99211
122,7280.0,304.9812449759697,-83.74600000000001,-58.99211
122,7290.0,305.2629462015756,-83.74600000000001,-58.99211
122,7300.0,305.5484710787376,-83.74600000000001,-58.99211
122,7310.0,305.8379338971615,-83.74600000000001,-58.99211
122,7320.0,306.1314489465531,-83.74600000000001,-58.99211
122,7330.0,306.4291305166183,-83.74600000000001,-58.99211
122,7340.0,306.7310928970625,-83.74600000000001,-58.99211
122,7350.0,307.037450377592,-83.74600000000001,-58.99211
122,7360.0,307.3483172479122,-83.74600000000001,-58.99211
122,7370.0,307.66385744008096,-83.74600000000001,-58.99211
122,7380.0,307.98456490851174,-83.74600000000001,-58.99211
122,7390.0,308.3110682376768,-83.74600000000001,-58.99211
122,7400.0,308.6439964091868,-83.74600000000001,-58.99211
122,7410.0,308.9839784046527,-83.74600000000001,-58.99211
122,7420.0,309.33164320568545,-83.74600000000001,-58.99211
122,7430.0,309.68761979389564,-83.74600000000001,-58.99211
122,7440.0,310.05253715089435,-83.74600000000001,-58.99211
122,7450.0,310.4270242582925,-83.74600000000001,-58.99211
122,7460.0,310.81171009770065,-83.74600000000001,-58.99211
